msg_count_gwgw,9888,,,
msg_cnt_gw_ce,4416,,,
value,time,ID,orig_measurement,type
85,2024-01-01 02:30:00,3-7,83,1p_household
85,2024-01-01 02:30:00,3-8,85,1p_household
140,2024-01-01 02:30:00,5-8,144,2p_household
140,2024-01-01 02:30:00,5-0,142,2p_household
140,2024-01-01 02:30:00,5-5,142,2p_household
220,2024-01-01 02:30:00,5-9,213,4p_household
220,2024-01-01 02:30:00,5-6,218,4p_household
90,2024-01-01 02:30:00,5-10,88,1p_household
85,2024-01-01 02:30:00,5-1,86,1p_household
85,2024-01-01 02:30:00,5-3,84,1p_household
150,2024-01-01 02:30:00,8-3,145,2p_household
140,2024-01-01 02:30:00,8-1,138,2p_household
85,2024-01-01 02:30:00,8-0,83,1p_household
85,2024-01-01 02:30:00,8-2,83,1p_household
85,2024-01-01 02:30:00,8-4,87,1p_household
140,2024-01-01 02:30:00,11-6,144,2p_household
90,2024-01-01 02:30:00,11-1,89,1p_household
85,2024-01-01 02:30:00,11-5,85,1p_household
220,2024-01-01 02:30:00,13-7,212,4p_household
90,2024-01-01 02:30:00,13-2,91,1p_household
220,2024-01-01 02:30:00,5-7,211,4p_household
85,2024-01-01 02:30:00,5-4,84,1p_household
85,2024-01-01 02:30:00,5-2,87,1p_household
140,2024-01-01 02:30:00,8-6,142,2p_household
200,2024-01-01 02:30:00,8-5,203,3p_household
140,2024-01-01 02:45:00,13-6,141,2p_household
200,2024-01-01 02:45:00,13-7,206,4p_household
90,2024-01-01 02:45:00,13-4,90,1p_household
85,2024-01-01 02:45:00,13-8,84,1p_household
140,2024-01-01 02:45:00,3-2,142,2p_household
1040,2024-01-01 02:45:00,3-3,1021,store
90,2024-01-01 02:45:00,3-1,90,1p_household
85,2024-01-01 02:45:00,3-5,85,1p_household
80,2024-01-01 02:45:00,3-7,82,1p_household
85,2024-01-01 02:45:00,5-10,85,1p_household
80,2024-01-01 02:45:00,5-4,82,1p_household
150,2024-01-01 02:45:00,8-1,149,2p_household
140,2024-01-01 02:45:00,8-3,139,2p_household
85,2024-01-01 02:45:00,8-0,83,1p_household
85,2024-01-01 02:45:00,8-4,83,1p_household
150,2024-01-01 02:45:00,11-4,146,2p_household
90,2024-01-01 02:45:00,11-8,89,1p_household
85,2024-01-01 02:45:00,11-2,86,1p_household
200,2024-01-01 02:45:00,11-7,209,3p_household
140,2024-01-01 02:45:00,13-0,138,2p_household
140,2024-01-01 02:45:00,13-1,136,2p_household
220,2024-01-01 02:45:00,13-5,212,4p_household
85,2024-01-01 02:45:00,13-2,86,1p_household
85,2024-01-01 02:45:00,13-3,85,1p_household
150,2024-01-01 02:45:00,3-4,145,2p_household
150,2024-01-01 02:45:00,3-6,148,2p_household
200,2024-01-01 02:45:00,3-0,201,4p_household
85,2024-01-01 02:45:00,3-8,87,1p_household
150,2024-01-01 02:45:00,5-0,149,2p_household
140,2024-01-01 02:45:00,5-8,142,2p_household
140,2024-01-01 02:45:00,5-5,141,2p_household
220,2024-01-01 02:45:00,5-9,212,4p_household
200,2024-01-01 02:45:00,5-6,198,4p_household
200,2024-01-01 02:45:00,5-7,201,4p_household
