1704075300.0,4-0,220
1704075300.0,4-1,200
1704075300.0,4-2,85
1704075300.0,4-3,140
1704075300.0,4-4,80
1704075300.0,4-5,140
1704075300.0,4-6,140
1704075300.0,4-7,220
1704075300.0,4-8,140
1704075300.0,4-9,140
1704075300.0,4-10,960
1704075300.0,4-11,85
1704075300.0,4-12,85
1704075300.0,14-0,220
1704075300.0,14-1,200
1704075300.0,14-2,90
1704075300.0,14-3,80
1704075300.0,14-4,140
1704075300.0,14-5,220
1704075300.0,14-6,90
1704075300.0,14-7,140
1704075300.0,14-8,140
1704075300.0,14-9,80
1704075300.0,10-0,140
1704075300.0,10-1,200
1704075300.0,10-2,200
1704075300.0,10-3,140
1704075300.0,10-4,90
1704075300.0,10-5,140
1704075300.0,10-6,80
1704075300.0,10-7,150
1704075300.0,10-8,85
1704075300.0,10-9,85
1704075300.0,0-0,200
1704075300.0,0-1,140
1704075300.0,0-2,140
1704075300.0,0-3,85
1704075300.0,0-4,90
1704075300.0,0-5,80
1704075300.0,0-6,90
1704076200.0,5-0,140
1704076200.0,5-1,200
1704076200.0,5-2,90
1704076200.0,5-3,140
1704076200.0,5-4,220
1704076200.0,5-5,140
1704076200.0,5-6,220
1704076200.0,5-7,140
1704076200.0,4-0,200
1704076200.0,4-1,200
1704076200.0,4-2,85
1704076200.0,4-3,140
1704076200.0,4-4,90
1704076200.0,4-5,140
1704076200.0,4-6,140
1704076200.0,4-7,200
1704076200.0,4-8,140
1704076200.0,4-9,140
1704076200.0,4-10,960
1704076200.0,4-11,85
1704076200.0,4-12,90
1704076200.0,14-0,200
1704076200.0,14-1,200
1704076200.0,14-2,85
1704076200.0,14-3,80
1704076200.0,14-4,140
1704076200.0,14-5,200
1704076200.0,14-6,90
1704076200.0,14-7,130
1704076200.0,14-8,140
1704076200.0,14-9,85
1704076200.0,10-0,140
1704076200.0,10-1,190
1704076200.0,10-2,220
1704076200.0,10-3,140
1704076200.0,10-4,85
1704076200.0,10-5,140
1704076200.0,10-6,85
1704076200.0,10-7,140
1704076200.0,10-8,90
1704076200.0,10-9,85
1704076200.0,0-0,220
1704076200.0,0-1,140
1704076200.0,0-2,140
1704076200.0,0-3,85
1704076200.0,0-4,90
1704076200.0,0-5,85
1704076200.0,0-6,85
1704077100.0,5-0,150
1704077100.0,5-1,200
1704077100.0,5-2,80
1704077100.0,5-3,140
1704077100.0,5-4,200
1704077100.0,5-5,140
1704077100.0,5-6,190
1704077100.0,5-7,130
1704077100.0,4-0,200
1704077100.0,4-1,200
1704077100.0,4-2,85
1704077100.0,4-3,130
1704077100.0,4-4,80
1704077100.0,4-5,140
1704077100.0,4-6,130
1704077100.0,4-7,200
1704077100.0,4-8,140
1704077100.0,4-9,140
1704077100.0,4-10,1040
1704077100.0,4-11,85
1704077100.0,4-12,85
1704077100.0,14-0,220
1704077100.0,14-1,200
1704077100.0,14-2,80
1704077100.0,14-3,85
1704077100.0,14-4,140
1704077100.0,14-5,200
1704077100.0,14-6,80
1704077100.0,14-7,140
1704077100.0,14-8,140
1704077100.0,14-9,85
1704077100.0,10-0,140
1704077100.0,10-1,200
1704077100.0,10-2,190
1704077100.0,10-3,140
1704077100.0,10-4,85
1704077100.0,10-5,150
1704077100.0,10-6,80
1704077100.0,10-7,140
1704077100.0,10-8,85
1704077100.0,10-9,80
1704077100.0,0-0,200
1704077100.0,0-1,130
1704077100.0,0-2,140
1704077100.0,0-3,85
1704077100.0,0-4,80
1704077100.0,0-5,80
1704077100.0,0-6,80
1704078000.0,5-0,140
1704078000.0,5-1,190
1704078000.0,5-2,85
1704078000.0,5-3,130
1704078000.0,5-4,200
1704078000.0,5-5,140
1704078000.0,5-6,220
1704078000.0,5-7,140
1704078000.0,4-0,200
1704078000.0,4-1,190
1704078000.0,4-2,85
1704078000.0,4-3,130
1704078000.0,4-4,80
1704078000.0,4-5,140
1704078000.0,4-6,130
1704078000.0,4-7,220
1704078000.0,4-8,140
1704078000.0,4-9,140
1704078000.0,4-10,1040
1704078000.0,4-11,90
1704078000.0,4-12,90
1704078000.0,14-0,200
1704078000.0,14-1,200
1704078000.0,14-2,90
1704078000.0,14-3,85
1704078000.0,14-4,140
1704078000.0,14-5,190
1704078000.0,14-6,85
1704078000.0,14-7,140
1704078000.0,14-8,140
1704078000.0,14-9,85
1704078000.0,10-0,140
1704078000.0,10-1,200
1704078000.0,10-2,200
1704078000.0,10-3,130
1704078000.0,10-4,90
1704078000.0,10-5,140
1704078000.0,10-6,85
1704078000.0,10-7,140
1704078000.0,10-8,80
1704078000.0,10-9,85
1704078000.0,0-0,200
1704078000.0,0-1,140
1704078000.0,0-2,140
1704078000.0,0-3,85
1704078000.0,0-4,85
1704078000.0,0-5,85
1704078000.0,0-6,85
1704078900.0,5-0,140
1704078900.0,5-1,200
1704078900.0,5-2,90
1704078900.0,5-3,130
1704078900.0,5-4,200
1704078900.0,5-5,140
1704078900.0,5-6,200
1704078900.0,5-7,140
1704078900.0,4-0,220
1704078900.0,4-1,200
1704078900.0,4-2,80
1704078900.0,4-3,150
1704078900.0,4-4,85
1704078900.0,4-5,130
1704078900.0,4-6,130
1704078900.0,4-7,200
1704078900.0,4-8,140
1704078900.0,4-9,140
1704078900.0,4-10,960
1704078900.0,4-11,80
1704078900.0,4-12,80
1704078900.0,14-0,200
1704078900.0,14-1,200
1704078900.0,14-2,80
1704078900.0,14-3,85
1704078900.0,14-4,150
1704078900.0,14-5,220
1704078900.0,14-6,85
1704078900.0,14-7,150
1704078900.0,14-8,150
1704078900.0,14-9,80
1704078900.0,10-0,140
1704078900.0,10-1,200
1704078900.0,10-2,190
1704078900.0,10-3,150
1704078900.0,10-4,80
1704078900.0,10-5,150
1704078900.0,10-6,90
1704078900.0,10-7,140
1704078900.0,10-8,80
1704078900.0,10-9,80
1704078900.0,0-0,200
1704078900.0,0-1,130
1704078900.0,0-2,140
1704078900.0,0-3,85
1704078900.0,0-4,85
1704078900.0,0-5,85
1704078900.0,0-6,85
1704079800.0,5-0,140
1704079800.0,5-1,220
1704079800.0,5-2,80
1704079800.0,5-3,150
1704079800.0,5-4,200
1704079800.0,5-5,140
1704079800.0,5-6,200
1704079800.0,5-7,140
1704079800.0,4-0,200
1704079800.0,4-1,220
1704079800.0,4-2,80
1704079800.0,4-3,150
1704079800.0,4-4,80
1704079800.0,4-5,140
1704079800.0,4-6,140
1704079800.0,4-7,220
1704079800.0,4-8,130
1704079800.0,4-9,150
1704079800.0,4-10,1040
1704079800.0,4-11,90
1704079800.0,4-12,80
1704079800.0,14-0,220
1704079800.0,14-1,200
1704079800.0,14-2,85
1704079800.0,14-3,85
1704079800.0,14-4,140
1704079800.0,14-5,200
1704079800.0,14-6,85
1704079800.0,14-7,150
1704079800.0,14-8,150
1704079800.0,14-9,85
1704079800.0,10-0,140
1704079800.0,10-1,200
1704079800.0,10-2,220
1704079800.0,10-3,150
1704079800.0,10-4,85
1704079800.0,10-5,140
1704079800.0,10-6,90
1704079800.0,10-7,150
1704079800.0,10-8,85
1704079800.0,10-9,90
1704079800.0,0-0,220
1704079800.0,0-1,140
1704079800.0,0-2,150
1704079800.0,0-3,85
1704079800.0,0-4,80
1704079800.0,0-5,80
1704079800.0,0-6,85
1704080700.0,5-0,140
1704080700.0,5-1,200
1704080700.0,5-2,90
1704080700.0,5-3,140
1704080700.0,5-4,200
1704080700.0,5-5,150
1704080700.0,5-6,220
1704080700.0,5-7,140
